ID,name,code,descr,isDefaultBudgetHead,isBudgetValidation,childType,parent_ID,resourceType_code,ResourceHierarchy_ID,LimitedDescendantCount,DistanceFromRoot,DrillState,Matched,MatchedDescendantCount,createdAt,createdBy,modifiedAt,modifiedBy
005e45b3-da09-499e-be16-8e9d06997bff,ALUM CORR SHEET 0.5MM 3.6M 80CM,10010100010003,ALUM CORR SHEET 0.5MM 3.6M 80CM,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.329411700Z,anonymous,2026-04-01T07:12:56.329411700Z,anonymous
017ac3ce-6815-4ff6-9f39-f08de2b027ee,ALUM PROF P332551 6061 6.10 LEN,10010100010017,ALUM PROF P332551 6061 6.10 LEN,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.339146800Z,anonymous,2026-04-01T07:12:56.339146800Z,anonymous
03ba15d0-f292-4cc2-90bd-ca5b115ec52a,ALUM PROF P231551 6061 6.00 140MM,10010100010013,ALUM PROF P231551 6061 6.00 140MM,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.337057300Z,anonymous,2026-04-01T07:12:56.337057300Z,anonymous
074974d9-1071-459f-912b-dadc4190e258,ALUM PROF P231551 6061 3.30 140MM,10010100010007,ALUM PROF P231551 6061 3.30 140MM,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.333808200Z,anonymous,2026-04-01T07:12:56.333808200Z,anonymous
092dbf6a-f040-4e8c-aa0d-908ab88852fc,ALUM PROF P332551 6061 4.70 LEN,10010100010026,ALUM PROF P332551 6061 4.70 LEN,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.346795500Z,anonymous,2026-04-01T07:12:56.346795500Z,anonymous
099f4254-337b-4c29-a56b-7aad83debd80,ALUM SHEET 1X6MTR 0.5MM THK,10010100010031,ALUM SHEET 1X6MTR 0.5MM THK,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.351137700Z,anonymous,2026-04-01T07:12:56.351137700Z,anonymous
0ed89268-0c3d-4efd-9ec5-0d54eb8ebc76,ALUMINUM MATERIAL,1001010001,ALUMINUM MATERIAL,,,,d836f2d4-a5fa-4572-a193-25f10adb0c67,,cbdaa5b6-b10a-47e6-9a7c-74f568ff54ae,,,,,,2026-04-01T07:12:35.026700100Z,anonymous,2026-04-01T07:12:35.026700100Z,anonymous
0fe96151-149b-4658-a8d1-518212b96b6d,OPEN BAL DIFF,100000000003,OPEN BAL DIFF,,,,3bf8e3fa-d789-42cd-b291-de05b3b9d01e,GL,cbdaa5b6-b10a-47e6-9a7c-74f568ff54ae,,,,,,2026-04-01T07:12:35.023135300Z,anonymous,2026-04-01T07:12:35.023135300Z,anonymous
1504a0bd-9141-455c-a030-d4acfbc9cd39,ALUM PROF P332551 6061 3.60 LEN,10010100010024,ALUM PROF P332551 6061 3.60 LEN,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.345287600Z,anonymous,2026-04-01T07:12:56.345287600Z,anonymous
15bd50e8-b85a-4a47-ad95-b054234ece9d,ALUM PROF S44003 LEN 6500 SDF7022,10010100010030,ALUM PROF S44003 LEN 6500 SDF7022,,,,0ed89268-0c3d-4efd-9ec5-0d54eb8ebc76,MT,cbdaa5b6-b10a-47e6-9a7c-74f568ff54ae,,,,,,2026-04-01T07:12:35.052536600Z,anonymous,2026-04-01T07:12:35.052536600Z,anonymous
166cbcc8-9714-4f70-8bd8-6b3dceb8cda3,ALUM PROF P231551 6061 5.40 140MM,10010100010012,ALUM PROF P231551 6061 5.40 140MM,,,,7fa66990-17d9-46eb-abb4-e35688ef7e62,MT,fca287f3-49cf-41a6-98f1-549979f6de38,,,,,,2026-04-01T07:12:56.337057300Z,anonymous,2026-04-01T07:12:56.337057300Z,anonymous
1734566c-2140-4e40-bf50-1472dc8f89b9,ALUM SHEET 4X8 0.65MM,10010100010033,ALUM SHEET 4X8 0.65MM,,,,0ed89268-0c3d-4efd-9ec5-0d54eb8ebc76,MT,cbdaa5b6-b10a-47e6-9a7c-74f568ff54ae,,,,,,2026-04-01T07:12:35.059864700Z,anonymous,2026-04-01T07:12:35.059864700Z,anonymous
