ID,code,name,descr,parent_ID,createdAt,createdBy,modifiedAt,modifiedBy,quantity
17407748-5c1f-44cc-afe2-d54ce7bcb12f,52,NON STOCK MATERIAL,NLAG,50aca156-a6d7-404d-8c21-374cdae7b577,2026-03-02T05:16:40.430303700Z,anonymous,2026-03-02T05:16:40.429482800Z,anonymous,10
b8719df8-ffc6-4a41-8bb7-c96454018fa6,3,Green Boiler,FERT,50aca156-a6d7-404d-8c21-374cdae7b577,2026-03-02T05:16:40.430303700Z,anonymous,2026-03-02T05:16:40.429482800Z,anonymous,20
f6959a07-e096-4bf4-abb4-9d7c2db35ef7,15,Paper Cover,VERP,50aca156-a6d7-404d-8c21-374cdae7b577,2026-03-02T05:16:40.430303700Z,anonymous,2026-03-02T05:16:40.429482800Z,anonymous,30

09405245-9e52-405d-888e-e5ce04198431,52,NON STOCK MATERIAL,NLAG,1e49b4f5-95cc-4122-f409-009c1d04b009,2026-03-05T10:17:15.642050300Z,anonymous,2026-03-05T10:17:15.640908900Z,anonymous,40
258eed22-8661-46fc-86c1-73e0a68b55a9,3,Green Boiler,FERT,1e49b4f5-95cc-4122-f409-009c1d04b009,2026-03-05T10:17:15.642050300Z,anonymous,2026-03-05T10:17:15.640908900Z,anonymous,50
6236e8ef-1c0c-4449-bda0-b425a4e90065,32,Non-stock Test,NLAG,1e49b4f5-95cc-4122-f409-009c1d04b009,2026-03-05T10:17:15.642050300Z,anonymous,2026-03-05T10:17:15.640908900Z,anonymous,60
780eaed0-41d1-4d1d-9324-2a371a84f466,15,Paper Cover,VERP,1e49b4f5-95cc-4122-f409-009c1d04b009,2026-03-05T10:17:15.642050300Z,anonymous,2026-03-05T10:17:15.640908900Z,anonymous,70
c2beed4f-4194-4128-9dda-9781d0a492f6,24,Serial Number testing,KMAT,1e49b4f5-95cc-4122-f409-009c1d04b009,2026-03-05T10:17:15.642050300Z,anonymous,2026-03-05T10:17:15.640908900Z,anonymous,80

6b32642c-b7eb-4dc2-99da-597e056ea754,24,Serial Number testing,KMAT,a7c24d8e-2e55-4a7b-8d02-002b8c3d4002,2026-03-05T10:17:40.434504Z,anonymous,2026-03-05T10:17:40.434145700Z,anonymous,90
6b898c8c-22ac-40fa-bb58-6287868cc63c,3,Green Boiler,FERT,a7c24d8e-2e55-4a7b-8d02-002b8c3d4002,2026-03-05T10:17:40.434504Z,anonymous,2026-03-05T10:17:40.434145700Z,anonymous,100
8494f87f-a8e6-4ea1-9343-67c9351bc21f,32,Non-stock Test,NLAG,a7c24d8e-2e55-4a7b-8d02-002b8c3d4002,2026-03-05T10:17:40.434504Z,anonymous,2026-03-05T10:17:40.434145700Z,anonymous,110
bd0e25c2-5b0a-4199-9f31-c05eca24167c,52,NON STOCK MATERIAL,NLAG,a7c24d8e-2e55-4a7b-8d02-002b8c3d4002,2026-03-05T10:17:40.434504Z,anonymous,2026-03-05T10:17:40.434145700Z,anonymous,120
c8c3b965-f603-48ca-b4f9-9d3b252ebc17,15,Paper Cover,VERP,a7c24d8e-2e55-4a7b-8d02-002b8c3d4002,2026-03-05T10:17:40.434504Z,anonymous,2026-03-05T10:17:40.434145700Z,anonymous,130

0bca82a4-998c-4b3f-8b51-cf44126e1a1a,3,Green Boiler,FERT,f3a91b6c-1c44-4d6a-9c01-001a9b2c3001,2026-03-05T10:24:54.519410400Z,anonymous,2026-03-05T10:24:54.518803Z,anonymous,140
642461c9-3eea-4ef5-ab3b-5b4c1bd7124c,15,Paper Cover,VERP,f3a91b6c-1c44-4d6a-9c01-001a9b2c3001,2026-03-05T10:24:54.519410400Z,anonymous,2026-03-05T10:24:54.518803Z,anonymous,150
9ce8e29a-f3b0-4e28-aa04-bbc6ddf3cfe2,52,NON STOCK MATERIAL,NLAG,f3a91b6c-1c44-4d6a-9c01-001a9b2c3001,2026-03-05T10:24:54.519410400Z,anonymous,2026-03-05T10:24:54.518803Z,anonymous,160
9d407d10-b29e-4c3a-a201-03f3a109f646,24,Serial Number testing,KMAT,f3a91b6c-1c44-4d6a-9c01-001a9b2c3001,2026-03-05T10:24:54.519410400Z,anonymous,2026-03-05T10:24:54.518803Z,anonymous,170
b0494c92-87a7-4b56-8776-2e4d42ea5209,32,Non-stock Test,NLAG,f3a91b6c-1c44-4d6a-9c01-001a9b2c3001,2026-03-05T10:24:54.519410400Z,anonymous,2026-03-05T10:24:54.518803Z,anonymous,180
