ID,parent_ID,name,Asset,createdAt,createdBy,modifiedAt,modifiedBy
44786cec-b3e5-4b60-9ad2-7006637a6266,9985bb2d-8868-476e-986d-b24c2c63c915,Machine,SAP_02,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
53e13aca-e872-4e0b-af2f-9b7eef8bc809,9985bb2d-8868-476e-986d-b24c2c63c915,מנהל פרויקט,PM01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
566749d5-c09a-4415-b6ba-f79378f081f8,9985bb2d-8868-476e-986d-b24c2c63c915,مدير المشروع,PM01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
676c2a09-8aed-4558-b826-d90742d80531,9985bb2d-8868-476e-986d-b24c2c63c915,Projektleiter,PM01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
7d8e56a1-658f-416e-9da8-939844bec8b7,9985bb2d-8868-476e-986d-b24c2c63c915,Керівник проекту,PM01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
a6090cd7-454d-4019-ad6a-b5616f7d7fd1,9985bb2d-8868-476e-986d-b24c2c63c915,Seniorkonsulent,SC01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
ac654f23-acba-48a3-9417-119913ab5daa,9985bb2d-8868-476e-986d-b24c2c63c915,Pengurus Projek,PM01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
b04e6c56-110f-49e3-a224-4aabcb9b2541,9985bb2d-8868-476e-986d-b24c2c63c915,Vedoucí projektu,PM01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
b6ec9590-58e3-4698-a24a-c7e4697f2001,9985bb2d-8868-476e-986d-b24c2c63c915,Timp serviciu,SV01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
f9b040de-a44f-4941-a988-c1def52a1383,9985bb2d-8868-476e-986d-b24c2c63c915,ที่ปรึกษา (ซีเนียร์),SC01,2026-02-19T09:47:06.563011300Z,anonymous,2026-02-19T09:47:06.558571500Z,anonymous
